distance,pair,value
5,2_7,611
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,1_3,570.6
3,2_5,579.2
4,3_7,554.8
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,2_4,720.2
3,1_4,622.6
4,1_5,505.4
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,1_3,570.6
3,4_7,789.8
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,1_3,570.6
3,5_8,605.6
4,4_8,516.6
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,7_9,516.2
3,6_9,538
4,4_8,516.6
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,5_7,721
3,6_9,538
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,1_3,570.6
3,6_9,538
4,2_6,729
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,5_7,721
3,3_6,584.2
4,3_7,554.8
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,6_9,538
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,6_8,546.2
3,4_7,789.8
4,5_9,616.8
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,5_7,721
3,6_9,538
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,3_5,565
3,2_5,579.2
4,3_7,554.8
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,7_9,516.2
3,1_4,622.6
4,4_8,516.6
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,3_5,565
3,4_7,789.8
4,3_7,554.8
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,5_7,721
3,5_8,605.6
4,2_6,729
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,6_9,538
4,4_8,516.6
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,7_9,516.2
3,2_5,579.2
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,5_7,721
3,3_6,584.2
4,4_8,516.6
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,4_6,659.8
3,5_8,605.6
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,7_9,516.2
3,3_6,584.2
4,3_7,554.8
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,3_5,565
3,3_6,584.2
4,3_7,554.8
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,2_4,720.2
3,5_8,605.6
4,2_6,729
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,6_8,546.2
3,1_4,622.6
4,1_5,505.4
5,2_7,611
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,1_3,570.6
3,6_9,538
4,4_8,516.6
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,3_5,565
3,6_9,538
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,5_7,721
3,3_6,584.2
4,2_6,729
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,1_3,570.6
3,2_5,579.2
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,1_3,570.6
3,3_6,584.2
4,2_6,729
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,1_4,622.6
4,1_5,505.4
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,6_8,546.2
3,4_7,789.8
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,3_5,565
3,5_8,605.6
4,1_5,505.4
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,4_6,659.8
3,6_9,538
4,3_7,554.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,7_9,516.2
3,6_9,538
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,5_7,721
3,1_4,622.6
4,4_8,516.6
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,2_4,720.2
3,1_4,622.6
4,1_5,505.4
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,6_8,546.2
3,5_8,605.6
4,3_7,554.8
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,6_8,546.2
3,6_9,538
4,2_6,729
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,6_8,546.2
3,1_4,622.6
4,3_7,554.8
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,6_9,538
4,5_9,616.8
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,6_8,546.2
3,3_6,584.2
4,1_5,505.4
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,5_8,605.6
4,2_6,729
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,3_5,565
3,5_8,605.6
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,5_7,721
3,2_5,579.2
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,5_7,721
3,2_5,579.2
4,4_8,516.6
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,2_5,579.2
4,2_6,729
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,5_7,721
3,2_5,579.2
4,3_7,554.8
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,3_5,565
3,4_7,789.8
4,1_5,505.4
5,1_6,596.4
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,6_8,546.2
3,6_9,538
4,5_9,616.8
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,1_3,570.6
3,4_7,789.8
4,2_6,729
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,5_7,721
3,4_7,789.8
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,3_5,565
3,4_7,789.8
4,1_5,505.4
5,2_7,611
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,5_7,721
3,1_4,622.6
4,5_9,616.8
5,4_9,512.6
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,1_3,570.6
3,6_9,538
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,6_9,538
4,4_8,516.6
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,5_7,721
3,4_7,789.8
4,4_8,516.6
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,5_7,721
3,2_5,579.2
4,1_5,505.4
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,3_6,584.2
4,1_5,505.4
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,5_7,721
3,5_8,605.6
4,5_9,616.8
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,6_8,546.2
3,1_4,622.6
4,1_5,505.4
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,7_9,516.2
3,6_9,538
4,1_5,505.4
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,4_6,659.8
3,3_6,584.2
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,5_7,721
3,4_7,789.8
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,4_6,659.8
3,4_7,789.8
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,6_8,546.2
3,5_8,605.6
4,5_9,616.8
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,6_8,546.2
3,1_4,622.6
4,1_5,505.4
5,1_6,596.4
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,4_6,659.8
3,3_6,584.2
4,3_7,554.8
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,5_7,721
3,5_8,605.6
4,1_5,505.4
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,5_8,605.6
4,4_8,516.6
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,2_4,720.2
3,1_4,622.6
4,3_7,554.8
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,1_3,570.6
3,3_6,584.2
4,1_5,505.4
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,2_4,720.2
3,2_5,579.2
4,4_8,516.6
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,2_4,720.2
3,2_5,579.2
4,3_7,554.8
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,3_5,565
3,3_6,584.2
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,6_8,546.2
3,4_7,789.8
4,2_6,729
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,1_3,570.6
3,2_5,579.2
4,2_6,729
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,6_8,546.2
3,3_6,584.2
4,1_5,505.4
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,2_4,720.2
3,2_5,579.2
4,1_5,505.4
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,6_8,546.2
3,1_4,622.6
4,3_7,554.8
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,1_3,570.6
3,2_5,579.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,2_4,720.2
3,1_4,622.6
4,1_5,505.4
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,1_3,570.6
3,4_7,789.8
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,2_4,720.2
3,4_7,789.8
4,4_8,516.6
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,1_3,570.6
3,5_8,605.6
4,2_6,729
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,3_5,565
3,2_5,579.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,7_9,516.2
3,4_7,789.8
4,3_7,554.8
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,3_5,565
3,3_6,584.2
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,5_7,721
3,1_4,622.6
4,2_6,729
5,1_6,596.4
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,6_8,546.2
3,6_9,538
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,2_4,720.2
3,3_6,584.2
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,2_4,720.2
3,3_6,584.2
4,1_5,505.4
5,2_7,611
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,2_5,579.2
4,4_8,516.6
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,1_3,570.6
3,4_7,789.8
4,4_8,516.6
5,2_7,611
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,7_9,516.2
3,4_7,789.8
4,5_9,616.8
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,2_5,579.2
4,3_7,554.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,5_8,605.6
4,1_5,505.4
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,6_8,546.2
3,4_7,789.8
4,2_6,729
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,7_9,516.2
3,3_6,584.2
4,4_8,516.6
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,1_3,570.6
3,3_6,584.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,1_4,622.6
4,2_6,729
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,5_8,605.6
4,2_6,729
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,4_6,659.8
3,2_5,579.2
4,1_5,505.4
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,2_4,720.2
3,2_5,579.2
4,5_9,616.8
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,1_3,570.6
3,4_7,789.8
4,4_8,516.6
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,1_3,570.6
3,3_6,584.2
4,2_6,729
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,4_6,659.8
3,5_8,605.6
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,1_3,570.6
3,6_9,538
4,1_5,505.4
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,6_8,546.2
3,2_5,579.2
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,5_7,721
3,5_8,605.6
4,4_8,516.6
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,5_7,721
3,4_7,789.8
4,3_7,554.8
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,7_9,516.2
3,3_6,584.2
4,5_9,616.8
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,4_6,659.8
3,5_8,605.6
4,1_5,505.4
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,3_5,565
3,3_6,584.2
4,2_6,729
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,2_4,720.2
3,2_5,579.2
4,1_5,505.4
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,6_8,546.2
3,4_7,789.8
4,3_7,554.8
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,5_7,721
3,6_9,538
4,3_7,554.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,3_5,565
3,3_6,584.2
4,3_7,554.8
5,4_9,512.6
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,2_4,720.2
3,1_4,622.6
4,5_9,616.8
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,7_9,516.2
3,3_6,584.2
4,5_9,616.8
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,5_6,694.8
2,5_7,721
3,1_4,622.6
4,4_8,516.6
5,2_7,611
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,7_9,516.2
3,6_9,538
4,4_8,516.6
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,4_6,659.8
3,2_5,579.2
4,3_7,554.8
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,6_8,546.2
3,2_5,579.2
4,4_8,516.6
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,4_6,659.8
3,2_5,579.2
4,2_6,729
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,7_9,516.2
3,4_7,789.8
4,3_7,554.8
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,6_8,546.2
3,3_6,584.2
4,1_5,505.4
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,3_5,565
3,4_7,789.8
4,3_7,554.8
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,6_7,620.8
2,5_7,721
3,3_6,584.2
4,3_7,554.8
5,4_9,512.6
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,6_8,546.2
3,3_6,584.2
4,1_5,505.4
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,4_6,659.8
3,3_6,584.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,2_4,720.2
3,3_6,584.2
4,4_8,516.6
5,2_7,611
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,2_4,720.2
3,3_6,584.2
4,5_9,616.8
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,2_4,720.2
3,1_4,622.6
4,3_7,554.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,6_8,546.2
3,1_4,622.6
4,3_7,554.8
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,5_7,721
3,5_8,605.6
4,1_5,505.4
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,4_6,659.8
3,6_9,538
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,7_9,516.2
3,1_4,622.6
4,2_6,729
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,2_4,720.2
3,2_5,579.2
4,4_8,516.6
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,7_9,516.2
3,4_7,789.8
4,5_9,616.8
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,5_7,721
3,5_8,605.6
4,3_7,554.8
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,2_4,720.2
3,1_4,622.6
4,1_5,505.4
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,6_8,546.2
3,3_6,584.2
4,1_5,505.4
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,5_7,721
3,4_7,789.8
4,5_9,616.8
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,5_7,721
3,4_7,789.8
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,5_7,721
3,2_5,579.2
4,3_7,554.8
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,2_4,720.2
3,5_8,605.6
4,3_7,554.8
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,2_3,707.2
2,3_5,565
3,4_7,789.8
4,1_5,505.4
5,4_9,512.6
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,6_8,546.2
3,6_9,538
4,1_5,505.4
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,7_9,516.2
3,3_6,584.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,1_3,570.6
3,2_5,579.2
4,5_9,616.8
5,1_6,596.4
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,1_3,570.6
3,1_4,622.6
4,2_6,729
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,4_6,659.8
3,4_7,789.8
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,2_4,720.2
3,2_5,579.2
4,5_9,616.8
5,2_7,611
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,4_6,659.8
3,2_5,579.2
4,1_5,505.4
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,6_8,546.2
3,3_6,584.2
4,2_6,729
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,1_4,622.6
4,1_5,505.4
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,5_6,694.8
2,1_3,570.6
3,1_4,622.6
4,3_7,554.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,3_4,582.4
2,1_3,570.6
3,3_6,584.2
4,2_6,729
5,3_8,544.8
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,5_7,721
3,1_4,622.6
4,3_7,554.8
5,1_6,596.4
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,3_5,565
3,3_6,584.2
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,7_9,516.2
3,6_9,538
4,3_7,554.8
5,3_8,544.8
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,1_3,570.6
3,3_6,584.2
4,4_8,516.6
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,1_3,570.6
3,4_7,789.8
4,5_9,616.8
5,4_9,512.6
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,2_3,707.2
2,3_5,565
3,4_7,789.8
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,7_9,516.2
3,4_7,789.8
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,4_5,673.8
2,4_6,659.8
3,3_6,584.2
4,4_8,516.6
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,3_4,582.4
2,3_5,565
3,6_9,538
4,2_6,729
5,4_9,512.6
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,7_9,516.2
3,3_6,584.2
4,4_8,516.6
5,2_7,611
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,7_9,516.2
3,4_7,789.8
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,3_6,584.2
4,2_6,729
5,4_9,512.6
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,4_5,673.8
2,5_7,721
3,3_6,584.2
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,2_4,720.2
3,6_9,538
4,2_6,729
5,3_8,544.8
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,6_8,546.2
3,2_5,579.2
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,5_7,721
3,6_9,538
4,5_9,616.8
5,4_9,512.6
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,5_7,721
3,2_5,579.2
4,4_8,516.6
5,1_6,596.4
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,3_5,565
3,1_4,622.6
4,3_7,554.8
5,1_6,596.4
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,6_7,620.8
2,3_5,565
3,5_8,605.6
4,3_7,554.8
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,7_8,659.75
2,5_7,721
3,4_7,789.8
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,7_9,516.2
3,2_5,579.2
4,2_6,729
5,3_8,544.8
6,2_8,524.6
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,4_6,659.8
3,1_4,622.6
4,2_6,729
5,4_9,512.6
6,1_7,536.4
7,2_9,581.6
8,1_9,513
1,8_9,535.8
2,5_7,721
3,3_6,584.2
4,4_8,516.6
5,3_8,544.8
6,2_8,524.6
7,1_8,532.8
8,1_9,513
1,8_9,535.8
2,4_6,659.8
3,3_6,584.2
4,2_6,729
5,3_8,544.8
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,1_2,587.8
2,7_9,516.2
3,4_7,789.8
4,3_7,554.8
5,2_7,611
6,1_7,536.4
7,1_8,532.8
8,1_9,513
1,1_2,587.8
2,5_7,721
3,5_8,605.6
4,5_9,616.8
5,2_7,611
6,3_9,550.8
7,2_9,581.6
8,1_9,513
1,7_8,659.75
2,1_3,570.6
