distance,pair,value
7,1_8,529
8,1_9,498.8
1,1_2,540
2,5_7,612.5
3,3_6,541
4,2_6,523.8
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,3_5,574
3,4_7,597.8
4,1_5,513.6
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,6_8,586
3,2_5,555.2
4,5_9,536.2
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,7_9,556.4
3,4_7,597.8
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,7_9,556.4
3,5_8,567.4
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,3_5,574
3,1_4,563.8
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,4_7,597.8
4,4_8,557.8
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,5_7,612.5
3,1_4,563.8
4,3_7,612.6
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,4_6,607.667
3,3_6,541
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,6_8,586
3,6_9,613.6
4,3_7,612.6
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,3_5,574
3,1_4,563.8
4,4_8,557.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,1_2,540
2,4_6,607.667
3,4_7,597.8
4,4_8,557.8
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,6_9,613.6
4,3_7,612.6
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,7_9,556.4
3,6_9,613.6
4,3_7,612.6
5,1_6,509.6
6,2_8,524
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,6_8,586
3,3_6,541
4,2_6,523.8
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,2_4,559.6
3,2_5,555.2
4,3_7,612.6
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,4_6,607.667
3,4_7,597.8
4,5_9,536.2
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,4_7,597.8
4,3_7,612.6
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,6_8,586
3,2_5,555.2
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,3_5,574
3,4_7,597.8
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,7_9,556.4
3,2_5,555.2
4,1_5,513.6
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,6_8,586
3,1_4,563.8
4,3_7,612.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,4_6,607.667
3,3_6,541
4,5_9,536.2
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,1_2,540
2,7_9,556.4
3,2_5,555.2
4,5_9,536.2
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,5_7,612.5
3,6_9,613.6
4,4_8,557.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,2_4,559.6
3,3_6,541
4,5_9,536.2
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,6_9,613.6
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,7_9,556.4
3,3_6,541
4,1_5,513.6
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,3_4,623
2,3_5,574
3,6_9,613.6
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,7_9,556.4
3,1_4,563.8
4,2_6,523.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,3_5,574
3,2_5,555.2
4,3_7,612.6
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,1_2,540
2,4_6,607.667
3,1_4,563.8
4,4_8,557.8
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,1_4,563.8
4,5_9,536.2
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,4_6,607.667
3,2_5,555.2
4,5_9,536.2
5,1_6,509.6
6,2_8,524
7,1_8,529
8,1_9,498.8
1,3_4,623
2,4_6,607.667
3,4_7,597.8
4,2_6,523.8
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,6_8,586
3,4_7,597.8
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,3_5,574
3,6_9,613.6
4,1_5,513.6
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,8_9,700
2,6_8,586
3,3_6,541
4,5_9,536.2
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,8_9,700
2,6_8,586
3,2_5,555.2
4,4_8,557.8
5,1_6,509.6
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,4_7,597.8
4,3_7,612.6
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,2_4,559.6
3,6_9,613.6
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,2_5,555.2
4,3_7,612.6
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,7_9,556.4
3,5_8,567.4
4,1_5,513.6
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,7_9,556.4
3,1_4,563.8
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,1_3,557
3,5_8,567.4
4,5_9,536.2
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,8_9,700
2,7_9,556.4
3,6_9,613.6
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,2_4,559.6
3,2_5,555.2
4,3_7,612.6
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,1_4,563.8
4,2_6,523.8
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,1_3,557
3,2_5,555.2
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,2_5,555.2
4,2_6,523.8
5,1_6,509.6
6,2_8,524
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,7_9,556.4
3,3_6,541
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,1_3,557
3,3_6,541
4,2_6,523.8
5,3_8,536.75
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,2_4,559.6
3,5_8,567.4
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,4_6,607.667
3,6_9,613.6
4,1_5,513.6
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,1_3,557
3,2_5,555.2
4,1_5,513.6
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,6_9,613.6
4,1_5,513.6
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,2_4,559.6
3,3_6,541
4,2_6,523.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,2_4,559.6
3,4_7,597.8
4,4_8,557.8
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,1_2,540
2,6_8,586
3,6_9,613.6
4,3_7,612.6
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,3_4,623
2,4_6,607.667
3,1_4,563.8
4,4_8,557.8
5,1_6,509.6
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,7_9,556.4
3,5_8,567.4
4,4_8,557.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,8_9,700
2,1_3,557
3,3_6,541
4,5_9,536.2
5,3_8,536.75
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,7_9,556.4
3,3_6,541
4,1_5,513.6
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,1_2,540
2,1_3,557
3,1_4,563.8
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,5_8,567.4
4,1_5,513.6
5,1_6,509.6
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,2_4,559.6
3,2_5,555.2
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,3_4,623
2,1_3,557
3,5_8,567.4
4,1_5,513.6
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,3_4,623
2,3_5,574
3,4_7,597.8
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,7_9,556.4
3,1_4,563.8
4,2_6,523.8
5,1_6,509.6
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,3_6,541
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,2_4,559.6
3,3_6,541
4,4_8,557.8
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,2_5,555.2
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,2_4,559.6
3,3_6,541
4,2_6,523.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,5_7,612.5
3,6_9,613.6
4,5_9,536.2
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,1_4,563.8
4,3_7,612.6
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,7_9,556.4
3,1_4,563.8
4,1_5,513.6
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,4_6,607.667
3,2_5,555.2
4,5_9,536.2
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,4_6,607.667
3,6_9,613.6
4,1_5,513.6
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,3_4,623
2,5_7,612.5
3,3_6,541
4,4_8,557.8
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,4_6,607.667
3,6_9,613.6
4,3_7,612.6
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,1_2,540
2,3_5,574
3,3_6,541
4,3_7,612.6
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,6_8,586
3,2_5,555.2
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,4_6,607.667
3,2_5,555.2
4,1_5,513.6
5,4_9,511.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,1_3,557
3,5_8,567.4
4,1_5,513.6
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,8_9,700
2,2_4,559.6
3,2_5,555.2
4,5_9,536.2
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,7_9,556.4
3,2_5,555.2
4,4_8,557.8
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,6_8,586
3,1_4,563.8
4,4_8,557.8
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,6_8,586
3,3_6,541
4,1_5,513.6
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,6_8,586
3,1_4,563.8
4,1_5,513.6
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,3_5,574
3,6_9,613.6
4,2_6,523.8
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,5_8,567.4
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,4_6,607.667
3,6_9,613.6
4,4_8,557.8
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,2_4,559.6
3,6_9,613.6
4,4_8,557.8
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,2_4,559.6
3,3_6,541
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,5_7,612.5
3,5_8,567.4
4,5_9,536.2
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,5_7,612.5
3,4_7,597.8
4,1_5,513.6
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,3_5,574
3,1_4,563.8
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,2_5,555.2
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,3_5,574
3,1_4,563.8
4,3_7,612.6
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,8_9,700
2,4_6,607.667
3,4_7,597.8
4,5_9,536.2
5,4_9,511.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,6_8,586
3,4_7,597.8
4,3_7,612.6
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,3_6,541
4,1_5,513.6
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,3_6,541
4,4_8,557.8
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,1_3,557
3,4_7,597.8
4,4_8,557.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,5_7,612.5
3,2_5,555.2
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,1_3,557
3,2_5,555.2
4,5_9,536.2
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,1_3,557
3,1_4,563.8
4,2_6,523.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,3_5,574
3,3_6,541
4,4_8,557.8
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,1_3,557
3,6_9,613.6
4,1_5,513.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,7_9,556.4
3,5_8,567.4
4,5_9,536.2
5,4_9,511.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,5_8,567.4
4,1_5,513.6
5,1_6,509.6
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,1_3,557
3,6_9,613.6
4,5_9,536.2
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,4_6,607.667
3,2_5,555.2
4,4_8,557.8
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,8_9,700
2,2_4,559.6
3,6_9,613.6
4,3_7,612.6
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,2_5,555.2
4,2_6,523.8
5,4_9,511.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,2_5,555.2
4,4_8,557.8
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,5_7,612.5
3,5_8,567.4
4,2_6,523.8
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,6_8,586
3,4_7,597.8
4,4_8,557.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,5_7,612.5
3,2_5,555.2
4,5_9,536.2
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,6_9,613.6
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,5_7,612.5
3,3_6,541
4,2_6,523.8
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,1_2,540
2,3_5,574
3,4_7,597.8
4,2_6,523.8
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,3_5,574
3,6_9,613.6
4,3_7,612.6
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,5_8,567.4
4,5_9,536.2
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,1_3,557
3,3_6,541
4,1_5,513.6
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,5_7,612.5
3,4_7,597.8
4,1_5,513.6
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,8_9,700
2,6_8,586
3,2_5,555.2
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,1_4,563.8
4,3_7,612.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,5_8,567.4
4,1_5,513.6
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,3_4,623
2,1_3,557
3,4_7,597.8
4,5_9,536.2
5,1_6,509.6
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,7_9,556.4
3,6_9,613.6
4,4_8,557.8
5,1_6,509.6
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,4_6,607.667
3,6_9,613.6
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,6_7,606.5
2,6_8,586
3,6_9,613.6
4,3_7,612.6
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,8_9,700
2,4_6,607.667
3,4_7,597.8
4,1_5,513.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,7_9,556.4
3,3_6,541
4,1_5,513.6
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,4_6,607.667
3,3_6,541
4,2_6,523.8
5,4_9,511.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,7_9,556.4
3,2_5,555.2
4,2_6,523.8
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,2_5,555.2
4,2_6,523.8
5,3_8,536.75
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,5_7,612.5
3,1_4,563.8
4,4_8,557.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,6_8,586
3,3_6,541
4,2_6,523.8
5,2_7,496.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,2_4,559.6
3,3_6,541
4,5_9,536.2
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,3_5,574
3,4_7,597.8
4,1_5,513.6
5,3_8,536.75
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,5_8,567.4
4,4_8,557.8
5,4_9,511.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,5_7,612.5
3,5_8,567.4
4,1_5,513.6
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,5_7,612.5
3,1_4,563.8
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,2_4,559.6
3,5_8,567.4
4,3_7,612.6
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,1_3,557
3,3_6,541
4,2_6,523.8
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,1_3,557
3,1_4,563.8
4,4_8,557.8
5,2_7,496.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,2_3,575.2
2,3_5,574
3,1_4,563.8
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,7_9,556.4
3,3_6,541
4,4_8,557.8
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,8_9,700
2,2_4,559.6
3,1_4,563.8
4,4_8,557.8
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,1_2,540
2,1_3,557
3,1_4,563.8
4,3_7,612.6
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,6_8,586
3,3_6,541
4,5_9,536.2
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,6_9,613.6
4,5_9,536.2
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,8_9,700
2,1_3,557
3,3_6,541
4,1_5,513.6
5,1_6,509.6
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,8_9,700
2,6_8,586
3,3_6,541
4,5_9,536.2
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,1_3,557
3,6_9,613.6
4,3_7,612.6
5,2_7,496.2
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,1_3,557
3,2_5,555.2
4,5_9,536.2
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,6_8,586
3,4_7,597.8
4,3_7,612.6
5,1_6,509.6
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,6_8,586
3,2_5,555.2
4,4_8,557.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,4_6,607.667
3,2_5,555.2
4,3_7,612.6
5,2_7,496.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,5_7,612.5
3,6_9,613.6
4,5_9,536.2
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,3_5,574
3,4_7,597.8
4,1_5,513.6
5,4_9,511.2
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,2_3,575.2
2,4_6,607.667
3,6_9,613.6
4,1_5,513.6
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,5_8,567.4
4,1_5,513.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,6_8,586
3,5_8,567.4
4,5_9,536.2
5,2_7,496.2
6,2_8,524
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,3_5,574
3,1_4,563.8
4,4_8,557.8
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,1_2,540
2,5_7,612.5
3,3_6,541
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,7_8,593.8
2,3_5,574
3,5_8,567.4
4,5_9,536.2
5,2_7,496.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,4_5,586.4
2,7_9,556.4
3,2_5,555.2
4,5_9,536.2
5,4_9,511.2
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,8_9,700
2,3_5,574
3,2_5,555.2
4,1_5,513.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,3_4,623
2,7_9,556.4
3,6_9,613.6
4,1_5,513.6
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,1_4,563.8
4,3_7,612.6
5,4_9,511.2
6,1_7,510.6
7,1_8,529
8,1_9,498.8
1,1_2,540
2,4_6,607.667
3,2_5,555.2
4,5_9,536.2
5,3_8,536.75
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,1_2,540
2,3_5,574
3,4_7,597.8
4,5_9,536.2
5,1_6,509.6
6,3_9,515.8
7,2_9,512.2
8,1_9,498.8
1,3_4,623
2,1_3,557
3,6_9,613.6
4,2_6,523.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,8_9,700
2,6_8,586
3,2_5,555.2
4,5_9,536.2
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,5_6,568.333
2,3_5,574
3,6_9,613.6
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,2_9,512.2
8,1_9,498.8
1,7_8,593.8
2,2_4,559.6
3,2_5,555.2
4,4_8,557.8
5,1_6,509.6
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,1_3,557
3,5_8,567.4
4,3_7,612.6
5,3_8,536.75
6,3_9,515.8
7,1_8,529
8,1_9,498.8
1,5_6,568.333
2,4_6,607.667
3,2_5,555.2
4,3_7,612.6
5,4_9,511.2
6,1_7,510.6
7,2_9,512.2
8,1_9,498.8
1,6_7,606.5
2,4_6,607.667
3,2_5,555.2
4,2_6,523.8
5,3_8,536.75
6,2_8,524
7,1_8,529
8,1_9,498.8
1,1_2,540
2,5_7,612.5
3,3_6,541
4,2_6,523.8
5,1_6,509.6
6,2_8,524
7,1_8,529
